item_id,wins_baseline,wins_no_weather,wins_optimal,total,rate_baseline,rate_no_weather,rate_optimal
apple_fuji_box10kg_premium,24,9,16,49,0.49,0.184,0.327
cucumber_bdadagi_ea100_low,24,10,15,49,0.49,0.204,0.306
cucumber_bdadagi_ea100_high,23,15,11,49,0.469,0.306,0.224
apple_fuji_box10kg_low,23,13,13,49,0.469,0.265,0.265
perilla_leaf_bunch100_high,22,15,12,49,0.449,0.306,0.245
cucumber_bdadagi_ea100_premium,22,18,9,49,0.449,0.367,0.184
perilla_leaf_bunch100_mid,21,21,7,49,0.429,0.429,0.143
honewort_kg4_low,21,19,9,49,0.429,0.388,0.184
perilla_leaf_bunch100_low,21,21,7,49,0.429,0.429,0.143
honewort_kg4_high,20,17,12,49,0.408,0.347,0.245
cucumber_bdadagi_ea100_mid,20,18,11,49,0.408,0.367,0.224
napa_cabbage_net10kg_mid,20,12,17,49,0.408,0.245,0.347
apple_fuji_box10kg_high,19,14,16,49,0.388,0.286,0.327
apple_fuji_box10kg_mid,19,13,17,49,0.388,0.265,0.347
sweetpotato_box10kg_low,19,9,21,49,0.388,0.184,0.429
napa_cabbage_net10kg_low,19,12,18,49,0.388,0.245,0.367
honewort_kg4_mid,19,18,12,49,0.388,0.367,0.245
sweetpotato_box10kg_mid,18,16,15,49,0.367,0.327,0.306
onion_kg1_premium,17,16,16,49,0.347,0.327,0.327
cabbage_net8kg_premium,17,14,18,49,0.347,0.286,0.367
sweetpotato_box10kg_premium,17,15,17,49,0.347,0.306,0.347
garlic_chive_bundle500g_low,17,17,15,49,0.347,0.347,0.306
carrot_box20kg_high,16,13,20,49,0.327,0.265,0.408
sweetpotato_box10kg_high,16,21,12,49,0.327,0.429,0.245
crown_daisy_box4kg_low,16,16,17,49,0.327,0.327,0.347
potato_sumi_box20kg_premium,15,21,13,49,0.306,0.429,0.265
crown_daisy_box4kg_high,15,14,20,49,0.306,0.286,0.408
crown_daisy_box4kg_mid,15,16,18,49,0.306,0.327,0.367
cabbage_net8kg_low,15,17,17,49,0.306,0.347,0.347
onion_kg1_mid,15,22,12,49,0.306,0.449,0.245
onion_kg1_high,15,20,14,49,0.306,0.408,0.286
onion_kg1_low,15,21,13,49,0.306,0.429,0.265
potato_sumi_box20kg_mid,15,25,9,49,0.306,0.51,0.184
cabbage_net8kg_high,14,21,14,49,0.286,0.429,0.286
garlic_chive_bundle500g_high,14,16,19,49,0.286,0.327,0.388
napa_cabbage_net10kg_high,14,22,13,49,0.286,0.449,0.265
cabbage_net8kg_mid,14,18,17,49,0.286,0.367,0.347
carrot_box20kg_low,13,10,26,49,0.265,0.204,0.531
spinach_box4kg_high,13,20,16,49,0.265,0.408,0.327
garlic_chive_bundle500g_mid,13,21,15,49,0.265,0.429,0.306
potato_sumi_box20kg_low,13,14,22,49,0.265,0.286,0.449
carrot_box20kg_mid,12,15,22,49,0.245,0.306,0.449
spinach_box4kg_low,12,14,23,49,0.245,0.286,0.469
potato_sumi_box20kg_high,12,21,16,49,0.245,0.429,0.327
napa_cabbage_net10kg_premium,10,22,17,49,0.204,0.449,0.347
spinach_box4kg_mid,9,18,22,49,0.184,0.367,0.449
